feed_name,city,prov,neighborhoods,wait_gap_wk_med,wait_gap_wk_ci_low,wait_gap_wk_ci_high,wait_gap_wk_p,wait_gap_we_med,wait_gap_we_ci_low,wait_gap_we_ci_high,wait_gap_we_p,dens_gap_wk_med,dens_gap_wk_ci_low,dens_gap_wk_ci_high,dens_gap_wk_p,dens_gap_we_med,dens_gap_we_ci_low,dens_gap_we_ci_high,dens_gap_we_p
barrie_transit,Barrie Transit (ON),ON,146,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_campbell_river,Campbell River (BC),BC,61,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_comox_valley,Comox Valley (BC),BC,86,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_cowichan_valley,Cowichan Valley (BC),BC,128,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_east_kootenay,East Kootenay (BC),BC,68,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_fraser_valley_region,Fraser Valley Region (BC),BC,269,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_kamloops,Kamloops (BC),BC,119,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_kelowna,Kelowna (BC),BC,207,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_nanaimo,Nanaimo (BC),BC,204,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_north_okanagan,North Okanagan (BC),BC,114,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_prince_george,Prince George (BC),BC,130,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_south_okanagan_similkameen,South Okanagan Similkameen (BC),BC,93,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_victoria,Victoria (BC),BC,506,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_west_kootenay,West Kootenay (BC),BC,104,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
brampton_transit,Brampton (ON),ON,163,-1.4229380466939539,-7.286446148845319,4.394300096276208,0.8535104954766519,-3.6194087429222854,-9.51890416230926,0.4657628128151508,0.026990756724042785,-5.51775347432751,-22.97371315695049,6.550644658661002,0.5378760783172174,0.0,-6.0972184196111225,0.8456312819809291,0.81473592059267
brandon_transit,Brandon Transit (MB),MB,66,-1.5619967793880818,-5.53311649253819,2.0709223239257524,0.4154931266460272,0.0,0.0,0.0,0.6913403581902124,52.07849126100524,-47.55546619990808,118.44166208204342,0.14888655836055184,36.343995043006004,-24.12828982530025,74.21385179770935,0.16779578288643038
burlington_transit,Burlington Transit (ON),ON,168,,,,,0.4389204545454568,-1.7218111346018308,1.6791201794452943,0.9839145169401029,0.0,0.0,0.0,1.0,37.66157482461783,16.048512688108886,53.19942138349844,0.0036416562960917185
calgary_transit,Calgary (AB),AB,289,-1.7008803023560777,-2.740825692506751,-0.855567997154864,5.537973787451913e-05,-3.052040612231208,-4.046796096853414,-2.198787762406275,9.264215836008601e-13,130.20707339329863,92.59537075153331,176.91290660740543,2.6384504824460393e-14,80.71473298226049,59.19976549829837,117.33449377232533,6.72668484801056e-15
codiac_transpo,Codiac Transpo (NB),NB,136,-1.0273269653052264,-3.5309590666457265,0.5752746584477039,0.2943340996430873,-0.7799985176062805,-1.9644672314407865,0.9069369283192558,0.5012068021265168,151.22810455095163,54.360411572294886,223.04277948814467,0.00023496559945859627,95.86960379512504,37.57076766804805,164.19348176144828,0.00014218025377652705
cornwall_transit,Cornwall Transit (ON),ON,86,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
durham_region_transit,Durham Region Transit (ON),ON,507,-2.3038811115047686,-3.503371714017971,-0.47835511470033487,0.001834761838624412,-0.04479166666666856,-0.10114893284204717,0.0007533602150514949,0.0075200206300298136,95.54350854272798,51.093799454990744,169.04689584664723,2.1195138306658202e-10,89.48553972257052,39.59763783142207,133.64107274883173,6.102550270071438e-10
edmonton_transit_service,Edmonton (AB),AB,286,,,,,-1.040873941825465,-2.2788043579539927,-0.15348373855884426,0.00011542204230929692,0.0,0.0,0.0,1.0,49.29138623523488,31.561881931794893,60.74439466133368,2.840156851154954e-17
exo_chambly_richelieu_carignan,Chambly Richelieu Carignan (QC),QC,96,7.267495728013177,0.13064001519890492,13.829919628267971,0.026505078946749895,0.007142857142852677,0.0,0.0714285714285694,0.009558270451691294,-31.472782639924127,-59.067108028016506,17.18465969722374,0.5648051914196281,-2.5766923971064113,-28.57230830348277,5.856665839965682,0.1669087647363694
exo_l'assomption,L'Assomption (QC),QC,221,-4.964503826406737,-8.632253507014182,-1.4758797897585498,0.14884032313507506,-23.91818181818182,-29.70654761904762,-5.136875000000004,0.0003554333910958471,58.54526364632551,-8.518649729699137,139.3234618814321,0.025507211547248623,20.861820364459966,-3.3108429341766596,42.38870718209055,0.09865528036749749
exo_la_presqu'ile,La Presqu'Ile (QC),QC,137,2.403214070048307,-1.202684328974919,8.298600023717347,0.11144618158860559,,,,,7.359256562474265,-28.366082393034795,51.88242997096062,0.22858393913412256,0.0,0.0,9.593040360971315,0.0031572892739373903
exo_laurentides,Laurentides (QC),QC,448,-0.4217751039809805,-1.5727870813397162,0.13849262161535972,0.04712547719641729,-0.28368818681318686,-5.0020935754703135,-0.06923076923077787,0.06791880606092998,80.67894553007719,43.22965166372898,109.48011175957805,5.241286418552446e-06,41.40775075994267,20.52590246179249,64.24864817814804,1.7679546350450494e-06
exo_le_richelain_roussillon,Le Richelain Roussillon (QC),QC,138,0.17759911863360145,-1.845161945812809,2.044281968238354,0.6578523546788221,15.091414141414141,-31.9010101010101,16.93119588744589,0.546983280756151,19.934782467745023,-26.429797246252857,83.8115107812519,0.24330387195381886,2.468002148601414,-24.79511134335142,17.124810812872138,0.44217721389859665
exo_richelieu,Richelieu (QC),QC,126,-3.1263745111571204,-18.527349303810126,4.135478192743862,0.07209844069863852,0.02272727272726982,-0.1366930171278007,0.19452678963549275,0.8519698341312788,41.95708147545128,16.444520651108387,79.70057286062904,7.448966617773024e-08,24.841202719160073,0.0,73.06156574654813,6.705392667830731e-05
exo_sorel_varennes,Sorel Varennes (QC),QC,84,2.7552445349484813,-2.4417530802001184,8.924401206789536,0.16269403137899296,-6.799699074074077,-20.004391534391537,28.237740192495117,0.2443166790094755,20.77453036254383,-14.018598283289036,88.01236698026283,0.13590613768186827,15.141484745648103,-7.388902952043798,26.943916302229407,0.27959977278331916
exo_sud_ouest,Sud Ouest (QC),QC,132,-4.825342653509928,-7.770634006892228,-1.1749099276662878,0.03224371784179015,-7.075936864434844,-15.283402091503463,1.7747756301857787,0.050099791764984136,48.487690786699915,26.641389659821982,75.15536673167695,0.0001126246328089919,86.3335430612392,46.177119692206155,125.03501825545383,0.00021293448814428068
exo_terrebonne_mascouche,Terrebonne Mascouche (QC),QC,215,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
fredericton_transit,Fredericton Transit (NB),NB,92,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
go_transit,Greater Toronto and Hamilton Area (ON),ON,335,6.116346854505711,-3.632667572463766,13.075151098901099,0.402792044990567,-3.567645901751508,-12.214285714285715,0.2118551587301571,0.14843629456340726,4.81883303798932,-0.5267222314828367,8.177728613421285,0.08212914655068793,1.7625939692474608,-0.20410904444482914,5.14215389642493,0.3139164765061194
grand_river_transport,Kitchener-Waterloo-Cambridge (ON),ON,113,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
grande_prairie_transit,Grande Prairie Transit (AB),AB,62,0.16666666666666785,-1.25,0.9375,0.8299138111213892,0.0,0.0,0.0,0.6818596208990719,56.17489018474224,30.38372318009104,154.5035071404627,0.0006567756502758658,33.04969960997267,16.619370156400176,75.70565132553911,0.00043212738103607165
guelph_transit,Guelph (ON),ON,145,-0.5659904242224005,-2.746483713935842,-0.011875000000000845,0.02510338867799959,-7.202145147822137e-05,-1.3767685740035838,0.2668546563390312,0.4845879630908091,132.61270980706735,57.845498060548046,224.3395518320697,9.118216730938088e-05,75.23474441566836,35.64790475454648,97.02677780328963,0.0002602685515123898
halifax_transit,Halifax (NS),NS,92,-6.584746114120607,-10.873765947274322,-2.738349385447111,0.004727521165629694,-5.766126322562089,-10.504025609073157,1.3342261594352793,0.07093239801938427,66.54228714398138,-7.001690567809643,212.86740648530207,0.024707643369406486,41.26191236503181,-4.2156489858565,128.73280690054906,0.023000858157801007
kingston_transit,Kingston Transit (ON),ON,175,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
lethbridge_transit,Lethbridge Transit (AB),AB,103,-0.22487990810359193,-2.2199008349799563,1.5814326765188778,0.4718639510134678,-0.015414080992899315,-0.14265874570831388,0.1066454168636276,0.4535703610076316,108.41554157454644,-4.42769492042666,162.97033413424953,0.005414086801662023,53.169870181201304,12.161968273533148,97.22457814845485,0.008865369750308367
london_transit_commission,London Transit Commission (ON),ON,431,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
medicine_hat_transit,Medicine Hat Transit (AB),AB,74,0.0,0.0,0.003659722222223644,0.7506257040046935,0.0,0.0,0.0,0.48780592991474414,70.86359000162753,-3.5659065609369325,115.13192473006448,0.009470254955524409,21.314805217205716,-14.211273306107588,53.32845448044067,0.11196456669331337
miway,Mississauga (ON),ON,200,-0.884451112908744,-3.281342887253496,1.1273677150312018,0.20721285107582965,-0.9088009008138158,-3.1911947983771265,0.4435476846283457,0.27912025017507214,71.97531901201235,36.234287519662274,117.83466285972607,0.004981208229702942,35.242200825035624,15.29960683422682,66.16030378199152,0.012304324335942059
north_bay_transit,North Bay Transit (ON),ON,75,-0.4414682539682566,-9.179398148148149,2.467093093958008,0.26039814750859547,-1.0974378881987548,-4.866071428571431,0.0,0.06478355911322792,103.70294438076212,12.408575971755651,206.72345852305668,0.011489993867711754,40.61471092023282,15.229387207910529,78.78877873946757,0.009278654193646898
oakville_transit,Oakville (ON),ON,182,-0.11240181601102428,-1.5688385535850498,1.3899447285540538,0.36822327541403366,0.8365756269462636,-2.702111191831855,7.447734541224671,0.8027095190710262,47.09855422387568,-46.39238561761482,128.10278962021889,0.07126700862828667,32.5407431187722,-8.168429163166126,73.79099819604252,0.028080191733759457
oc_transpo,Ottawa (ON),ON,214,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
red_deer_transit,Red Deer Transit (AB),AB,133,-0.3134796238244508,-1.4177073522027708,0.18571127946127747,0.018266062316445442,0.0,-2.731835778479509,2.1069504310344827,0.6028356559683608,134.3112477744899,51.776058038534416,174.61462355932468,6.540109850782844e-06,73.01309290712202,35.59308189749416,130.68450679890915,2.099168987228378e-05
regina_transit,Regina (SK),SK,303,-1.095351424050257,-1.9350527849166954,0.6084448143734905,0.042825149425707004,0.686087960811447,-1.2445146520146546,2.747727340442425,0.4224582375140177,132.6882495986028,41.744577265112405,231.13141338575912,9.968365550101187e-05,81.91336847005726,50.20411433524927,138.8145754232593,0.0003210858979454045
regional_municipality_of_wood_buffalo,Regional Municipality Of Wood Buffalo (AB),AB,69,-1.4628151260504225,-6.864041579202793,5.829879049556425,0.4644561298319787,-4.0,-30.0,10.160358319216996,0.07799532588044604,37.83939481178707,-35.43229541273103,105.7580639808457,0.3279775632043628,29.075501504581823,-14.684485095640516,63.55379800656904,0.049466688974793005
reseau_transport_capitale,Quebec City (QC),QC,145,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
reseau_transport_longueuil,Longueuil (QC),QC,589,-1.0922092706447408,-2.5289918732622056,0.1256050299599104,0.00038323257527400937,-6.123859201800375,-8.80739485567364,-3.4838116641125816,6.21781076756062e-08,392.9801415847337,256.065008813164,482.06123920375757,3.1613658765990125e-21,255.27274449017372,181.0751696538409,311.4557914064206,8.553774454482304e-23
ritc_transcollines,Ritc Transcollines (QC),QC,82,,,,,,,,,-0.7758602933313554,-1.6059239132376681,-0.3242996365837662,0.000852994170827323,0.0,0.0,0.0,0.8763014853349417
saint_john_transit,Saint John Transit (NB),NB,124,-18.846153846153847,-20.0,-8.846153846153847,5.178457807030642e-06,-0.0790513833992037,-6.310584800637094,5.838223117020822,0.75057331630574,227.91076854790958,138.44644643836804,282.345583460977,1.1055706725598554e-07,77.77702956613791,54.95768552161573,117.2865654640013,2.5249623461330688e-08
sarnia_transit,Sarnia Transit (ON),ON,114,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
saskatoon_transit,Saskatoon Transit (SK),SK,288,-2.710662642881779,-3.9512602793258607,-1.524653182930841,0.00016100420378821893,-2.5701601970267056,-5.277636726134112,-0.38534822402284996,4.651685594716542e-05,210.78982942059022,114.39434221574527,257.2337124854994,1.6939819368014223e-08,132.36229711574595,85.77056918075968,167.5893891733509,2.7638275946415506e-10
sault_ste_marie_transit,Sault Ste Marie Transit (ON),ON,123,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
societe_de_transport_de_trois_rivieres,Societe De Transport De Trois Rivieres (QC),QC,198,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
societe_transport_laval,Laval (QC),QC,537,-1.9175504508578278,-3.085784462793477,-0.13374919388300038,0.03202458542447085,-2.00161977733649,-6.042944999673772,0.45652641359802987,0.024680145562380924,231.81672970011573,116.68868075675627,306.4773716667291,1.06625146466142e-11,150.07033534810978,106.40340288911413,220.1098560066982,1.5405126083696764e-11
societe_transport_levis,Levis (QC),QC,230,-4.3272063662670455,-8.212675983810875,-1.3666682866036979,0.029040199811920884,-5.038910599816852,-7.098235539972977,2.4216697156509,0.041437017823505395,121.42094686837915,66.15037848292242,166.07657194960112,4.02203692884428e-05,65.77591416497751,36.85606306170694,91.87944749326773,6.851591673103238e-05
societe_transport_montreal,Montreal (QC),QC,537,-0.9743035465129193,-1.5463611536127015,-0.2907455006321892,0.0006565014374197625,-0.6982281591131017,-1.348738617107169,0.009441957889031592,0.004966391563290265,129.33297760470566,-15.737524031420046,248.7018013772487,0.0032265226488917996,64.97842409609405,-14.659490814799376,140.87596340106603,0.007087239948719703
societe_transport_outaouais,Gatineau (QC),QC,67,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
t3_transit,T3 Transit (PE),PE,75,-6.927777777777777,-10.197769360269362,1.5815077691227328,0.05779497478834078,0.0,0.0,0.0,0.051834263558741045,106.79046032939551,9.966182173367415,142.2862493986434,0.0001262733676588254,32.137723222103375,6.11453946205292,51.212580308035704,0.002365180263132125
thunder_bay_transit,Thunder Bay Transit (ON),ON,162,-0.6392044457777253,-1.9124069241986275,-0.1972884913617636,0.000707853695281669,-0.9376667755132146,-3.2611822759058473,-0.18556121166415698,0.0001658276235364075,179.83371290157783,70.03675462591856,251.24545528432023,3.242544071041277e-06,113.01406021444015,35.63238687006502,178.09262108147252,1.5846343762358925e-05
timmins_transit,Timmins Transit (ON),ON,64,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
toronto_transit_commission,Toronto (ON),ON,641,-0.5245185593692128,-1.1244812553032602,-0.0606381504765389,0.016833964801337357,-0.57909027452523,-1.4991909833056964,-0.01901666280616373,0.009253158679551683,113.86685173872462,17.43498759214528,233.59124686156485,0.01616165904849211,40.16745246831465,-51.533575678759654,106.9253080108841,0.05307558143973417
transit_windsor,Transit Windsor (ON),ON,352,-4.168591980856711,-5.002978342297234,-3.3156654439961173,4.026318310793564e-08,-3.128260869565217,-4.610745124602911,-1.827928931733883,5.373249396095107e-06,327.390116625422,239.2564470030294,455.1971542001661,1.3141491551896463e-12,122.11328808744705,87.41423654943945,187.571163455147,5.875746210929983e-13
translink_vancouver,Metro Vancouver (BC),BC,517,-0.4770979986169426,-1.5468781621252727,0.34520675589362215,0.18112955627259242,-1.3293315844336195,-2.2483445944270164,0.2824014594532109,0.006649055671958719,101.726524534069,52.52862389766409,164.67280279537115,9.276198400087194e-05,86.01718529945384,44.70512991757433,130.0161165900578,0.00010782770530894021
ville_de_saint_hyacinthe,Ville De Saint Hyacinthe (QC),QC,79,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ville_de_saint_jean_sur_richelieu,Ville De Saint Jean Sur Richelieu (QC),QC,135,-1.0052304674730301,-2.128363584356149,-0.5949541519907674,0.004343713737846375,0.0,0.0,0.0,0.005058133202048109,116.85497941387638,25.174541240686825,189.0560238388924,9.069863465201115e-06,55.66797325827565,24.92745786278307,106.69257598861212,1.9835118407888675e-06
winnipeg_transit,Winnipeg (MB),MB,168,-3.530270613437837,-4.911138025252016,-1.7648308604964789,4.482208753373875e-05,-2.097151556126434,-4.347099942631614,-0.4760520589711453,0.0031181072667288787,184.00675932923434,126.29577751171567,227.04268297261157,8.174821150227213e-13,105.8697629358152,71.17705980528555,137.02426629644097,3.1388995200568323e-13
york_region_transit,York Region (ON),ON,230,-1.6340333383459615,-3.9331890864920083,0.5096688690260905,0.01012454325504183,-0.8294258305959303,-2.9474576173486775,0.5771237384572787,0.27430307652372665,28.21340662195186,-1.2351658199908375,44.71913063927204,0.0010823724112659057,13.291728456544696,0.7506110689730394,22.338606404705317,0.0004063230132246814
