prov,cities,median_wait_gap_wk,median_wait_gap_we,median_dens_gap_wk,median_dens_gap_we
AB,7,-0.2691797659640214,-0.015414080992899315,70.86359000162753,49.29138623523488
BC,14,-0.4770979986169426,-1.3293315844336195,0.0,0.0
MB,2,-2.5461336964129595,-1.048575778063217,118.04262529511979,71.1068789894106
NB,3,-9.936740405729537,-0.4295249505027421,151.22810455095163,77.77702956613791
NS,1,-6.584746114120607,-5.766126322562089,66.54228714398138,41.26191236503181
ON,21,-0.6392044457777253,-0.8691133657048731,0.0,1.7625939692474608
PE,1,-6.927777777777777,0.0,106.79046032939551,32.137723222103375
QC,19,-1.0052304674730301,-1.3499239682247959,20.77453036254383,15.141484745648103
SK,2,-1.903007033466018,-0.9420361181076293,171.73903950959652,107.1378327929016
